char,dialog,movie
Deagol,"Oh Smeagol Ive got one! , Ive got a fish Smeagol, Smeagol!    ",The Return of the King
Smeagol,"Pull it in! Go on, go on, go on, pull it in!  ",The Return of the King
Deagol,Arrghh! ,The Return of the King
Smeagol,Deagol!  ,The Return of the King
Smeagol,Deagol!  ,The Return of the King
Smeagol,Deagol!  ,The Return of the King
Smeagol,Give us that! Deagol my love  ,The Return of the King
Deagol,Why?  ,The Return of the King
Smeagol,"Because , its my birthday and I wants it.  ",The Return of the King
Smeagol, My precious.  ,The Return of the King
Smeagol,They cursed us ,The Return of the King
(Gollum,Murderer ,The Return of the King
Smeagol,Murderer they called us. They cursed us and drove us away.    ,The Return of the King
Smeagol,"Gollum Gollum Gollum , and we wept precious. We wept to be so alone.  ",The Return of the King
Smeagol,"and cool, so nice for feet and we only wish to catch a fish    , so juicy sweet.  ",The Return of the King
Smeagol,"And we forgot the taste of bread, the sound of trees and the softness of     the wind. We even forgot our own name.  ",The Return of the King
Frodo,    Gandalf?        ,The Return of the King
Frodo,    Oooohhh! ,The Return of the King
Merry,    Frodo!  ,The Return of the King
Gimli,    Aaaahh!  ,The Return of the King
Frodo,    Gimli!  ,The Return of the King
Gollum,My precious!    ,The Return of the King
Gollum,"Wake up! , Wake up!     ,Wake up sleepies! We must go, yes, we must go at once.  ",The Return of the King
Sam,Havent you had any sleep Mr Frodo?  ,The Return of the King
Sam,"And Ive gone and had too much. , It must be getting late.  ",The Return of the King
Frodo,"No, it isnt. It isnt midday yet. , The days are growing darker.  ",The Return of the King
Gollum,Come on! Must go! No time!  ,The Return of the King
Sam,Not before Mr Frodos had something to eat.  ,The Return of the King
Gollum,No time to lose silly!  ,The Return of the King
Sam,Here. ,The Return of the King
Frodo,What about you?  ,The Return of the King
Sam,"Oh no, Im not hungry, leastways not for lembas bread.  ",The Return of the King
Frodo,Sam!  ,The Return of the King
Frodo,    Aragorn!  ,The Return of the King
Gandalf,    Now come the days of the King. May they be blessed. ,The Return of the King
Aragorn,"    This day does not belong to one man, but to all. Let us together rebuild     this world, that we may share in the days of peace.  ",The Return of the King
Aragorn,    Et Erello Endorenna utlien. Sinome maruvan ar Hildinyar tenn Ambarmetta!     ,The Return of the King
Aragorn,    Hannon le. ,The Return of the King
Aragorn,"    My friends, , you bow to     noone.  ",The Return of the King
Frodo,"    ,And thus     it was a Fourth Age of Middle Earth began. And the Fellowship of the Ring,     though eternally bound by friendship and love was ended.            Thirteen months to the day since Gandalf sent us on our long journey we find     ourselves looking upon a familiar sight.  ",The Return of the King
Frodo,    We were home.  ,The Return of the King
Pippin,    Alright!  ,The Return of the King
Hobbit,    Hey watch the pumpkin. ,The Return of the King
Rosie,    Goodnight lads.  ,The Return of the King
Sam,"Oh alright, but we dont have that much left. We have to be careful or     we are going to run out. You go ahead and eat that Mr Frodo. Ive rationed     it, there should be enough.  ",The Return of the King
Frodo,For what?  ,The Return of the King
Sam,The journey home.  ,The Return of the King
Gollum,"Come Hobbitses, very close now. Very close to Mordor. No safe places here. Hurry.  ",The Return of the King
Merry,"Its good. Definitely from the Shire. ,Longbottom leaf eh?  ",The Return of the King
Pippin,"uhh huh , I feel like Im back at the Green Dragon.  ",The Return of the King
Merry,"Mmmm , Green Dragon!  ",The Return of the King
Pippin,A mug of ale in my hand. Putting my feet up on a settle after a hard     days work.  ,The Return of the King
Merry,"Only, , youve never done a hard days work.     ",The Return of the King
Pippin,Ahaha! ,The Return of the King
Merry,"Welcome, my lords to Isengard!  ",The Return of the King
Gimli,You young rascals. A merry hunt youve led us on and now we find you     feasting and  and smoking!  ,The Return of the King
Pippin,    Hmm?  ,The Return of the King
